code,system
I23,icd10
I21,icd10
22298006,icd10
66189004,icd10
57054005,icd10
G30..,icd10
I22,icd10
703211006,icd10
194856005,icd10
G35..,icd10
70422006,icd10
311796008,icd10
G307.,icd10
G384.,icd10
3235,icd10
703209002,icd10
233830008,icd10
194858006,icd10
703213009,icd10
73795002,icd10
233829003,icd10
G308.,icd10
G351.,icd10
703164000,icd10
54329005,icd10
194857001,icd10
G350.,icd10
G301z,icd10
307140009,icd10
79009004,icd10
428752002,icd10
233843008,icd10
233835003,icd10
304914007,icd10
428196007,icd10
161503005,icd10
394710008,icd10
161502000,icd10
308065005,icd10
1755008,icd10
314207007,icd10
I25.2,icd10
14A3.,icd10
14A4.,icd10
G3070,icd10
323Z.,icd10
G32..,icd10
G30z.,icd10
323..,icd10
14AH.,icd10
G309.,icd10
233847009,icd10
194865003,icd10
194867006,icd10
194866002,icd10
394659003,icd10
401314000,icd10
703360004,icd10
G3071,icd10
233834004,icd10
58612006,icd10
233828006,icd10
233833005,icd10
314116003,icd10
15712921000119103,icd10
233827001,icd10
15990001,icd10
15712881000119105,icd10
70211005,icd10
G300.,icd10
3236,icd10
G501.,icd10
G33z5,icd10
G30B.,icd10
G305.,icd10
233826005,icd10
233825009,icd10
62695002,icd10
G3011,icd10
3233,icd10
G30y2,icd10
315287002,icd10
889A.,icd10
10273003,icd10
G30y1,icd10
311793000,icd10
1089471000000109,icd10
311792005,icd10
G381.,icd10
G380.,icd10
129574000,icd10
G38..,icd10
76593002,icd10
194802003,icd10
12238151000119107,icd10
233838001,icd10
G304.,icd10
G303.,icd10
G306.,icd10
194863005,icd10
233846000,icd10
233831007,icd10
65547006,icd10
233832000,icd10
G302.,icd10
194868001,icd10
G366.,icd10
G30A.,icd10
398274000,icd10
285991000119100,icd10
371068009,icd10
194809007,icd10
G30y0,icd10
194862000,icd10
42531007,icd10
G31y1,icd10
52035003,icd10
G3010,icd10
399211009,icd10
698593009,icd10
401303003,icd10
G30X0,icd10
I24.1,icd10
G310.,icd10
G363.,icd10
G364.,icd10
G361.,icd10
G365.,icd10
G360.,icd10
G362.,icd10
G36..,icd10
G30X.,icd10
G38z.,icd10
G35X.,icd10
Gyu34,icd10
G301.,icd10
G30y.,icd10
G353.,icd10
G30yz,icd10
3234,icd10